id,fname,lname,address,city,state,zip,phone,company_name,IDSK,CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
101,Michaels,Devlin,3114 Pioneer Avenue,Rutherford,NJ,07070,2015558966,The Power Group,1,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin,,12209,Germany,030-0074321,030-0076545
102,Beth,Reiser,1033 Whippany Road,New York,NY,10154,2125558725,AMF Corp.,2,ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,(5) 555-4729,(5) 555-3745
103,Erin,Niedringhaus,1990 Windsor Street,Paoli,PA,19301,2155556513,Darling Associates,3,ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,Mataderos  2312,México D.F.,,05023,Mexico,(5) 555-3932,
104,Meghan,Mason,550 Dundas Street East,Knoxville,TN,37919,6155555463,P.S.C.,4,AROUT,Around the Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London,,WA1 1DP,UK,(171) 555-7788,(171) 555-6750
105,Laura,McCarthy,1210 Highway 36,Carmel,IN,46032,3175558437,Amo & Sons,5,BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,Berguvsvägen  8,Luleå,,S-958 22,Sweden,0921-12 34 65,0921-12 34 67
106,Paul,Phillips,2000 Cherry Creek N. Dr.,Middletown,CT,64579,2035553464,Ralston Inc.,6,BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,,68306,Germany,0621-08460,0621-08924
107,Kelly,Colburn,18131 Vallco Parkway,Raleigh,NC,27695-7209,9195555152,The Home Club,7,BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,"24, place Kléber",Strasbourg,,67000,France,88.60.15.31,88.60.15.32
108,Matthew,Goforth,11801 Wayzata Blvd.,Chattanooga,TN,37421,6155558926,Raleigh Co.,8,BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,"C/ Araquil, 67",Madrid,,28023,Spain,(91) 555 22 82,(91) 555 91 99
109,Jessie,Gagliardo,2800 Park Avenue,Hull,PQ,K1A 0H3,8195559539,Newton Ent.,9,BONAP,Bon app',Laurence Lebihan,Owner,"12, rue des Bouchers",Marseille,,13008,France,91.24.45.40,91.24.45.41
110,Michael,Agliori,13705 North Glebe Road,Columbus,OH,43216,6145552496,The Pep Squad,10,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745
111,Dylan,Ricci,14700 Prosperity Avenue,Syracuse,NY,13202,3155554486,Dynamics Inc.,11,BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212,
112,Shawn,McDonough,15175 S Main Street,Brooklyn Park,MN,55428,6125555603,McManus Inc.,12,CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires,,1010,Argentina,(1) 135-5555,(1) 135-4892
113,Samuel,Kaiser,404 Bristol Street,Minneapolis,MN,55041,6125553409,Lakes Inc.,13,CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,México D.F.,,05022,Mexico,(5) 555-3392,(5) 555-7293
114,Shane,Chopp,9925 Summer Street,St Paul,MN,55104,6125556453,Howard Co.,14,CHOPS,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,,3012,Switzerland,0452-076545,
115,Shannon,Phillips,20555 Cory Road,St Paul,MN,55114,6125556425,Sterling & Co.,15,COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,(11) 555-7647,
116,Brian,Gugliuzza,39111 Wyman Street,Mamaroneck,NY,10543,9145553817,Sampson & Sons,16,CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,Berkeley Gardens 12  Brewery,London,,WX1 6LT,UK,(171) 555-2282,(171) 555-9199
117,Meredith,Morgan,9191 Galveston Drive,Westerville,OH,43081,6145558989,Square Sports,17,DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Walserweg 21,Aachen,,52066,Germany,0241-039123,0241-059428
118,Kristina,Sanford,2196th Street,Raleigh,NC,27695-7209,9195555152,Raleigh Active Wear,18,DUMON,Du monde entier,Janine Labrune,Owner,"67, rue des Cinquante Otages",Nantes,,44000,France,40.67.88.88,40.67.89.89
119,Tomm,Smith,3 Post Oak Blvd.,South Laguna,CA,92677,7145554996,Ocean Sports,19,EASTC,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,,WX3 6FW,UK,(171) 555-0297,(171) 555-3373
120,Gertrude,Stein,4 Amon Carter Blvd.,Elmsford,NY,10523,9145553476,Carney Co.,20,ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426
121,Pete,Elkins,23 Lawerence Street,Carmel,IN,46032,3175558437,Carmel Industries,21,FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil,(11) 555-9857,
122,Al,Dente,25 N.E. 38th Place,McLean,VA,22102,7035557491,Virgina Power,22,FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,"C/ Moralzarzal, 86",Madrid,,28034,Spain,(91) 555 94 44,(91) 555 55 93
123,Amanda,Lin,25 North Pine Grove,Winnipeg,MB,R3C 3V6,2045555559,North Land Trading,23,FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,"184, chaussée de Tournai",Lille,,59000,France,20.16.10.16,20.16.10.17
124,Fanny,Farmer,110 Barnard Lane,Wilmington,MA,01887,6175559386,The Ristuccia Center,24,FOLKO,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke,,S-844 67,Sweden,0695-34 67 21,
